Année;Pays;Consommation_charbon;Production_charbon;Variation_pct_consommation_charbon;Variation_pct_production_charbon;Demande_électricité;Production_électricité;Électricité_biocarburants;Électricité_charbon;Variation_pct_consommation_énergie;Variation_pct_consommation_fossile;Consommation_combustibles_fossiles;Électricité_fossile;Consommation_pétrole;Variation_pct_consommation_pétrole;Électricité_pétrole;Variation_pct_production_pétrole;Production_pétrole;Variation_pct_consommation_gaz;Variation_pct_production_gaz;Consommation_gaz;Production_gaz;Électricité_gaz;Variation_pct_production_gaz;Consommation_nucléaire;Électricité_nucléaire;Consommation_hydroélectrique;Consommation_renouvelables;Émissions_gaz_effet_de_serre;Population
2019;China;22922.236;22154.439;2.55;3.754;7444.69;7461.49;112.73;4855.19;4.661;3.652;33921.184;5098.22;7915.177;5.05;10.53;1.217;2228.634;8.612;9.492;3083.768;1767.414;232.5;9.492;882.026;348.7;3354.375;5403.476;4178.42;1421864064.0
2005;France;156.185;0.0;3.854;-100.0;509.53;569.86;3.39;27.51;-0.586;0.024;1742.588;63.35;1109.278;-1.385;12.77;-13.125;14.816;2.185;-19.248;477.126;11.758;23.07;-19.248;1240.675;451.53;147.409;169.137;50.23;60510080.0
2006;France;144.318;0.0;-7.598;;504.66;568.0;3.38;22.89;-0.802;-1.799;1711.23;56.9;1106.107;-0.286;12.25;-5.652;13.979;-3.421;10.316;460.805;12.971;21.76;10.316;1229.219;450.19;160.205;186.681;45.55;60919152.0
2007;France;149.409;0.0;3.528;;505.4;562.21;3.75;24.45;-1.752;-2.103;1675.235;58.18;1078.217;-2.521;11.74;-7.476;12.934;-2.864;-10.988;447.609;11.546;21.99;-10.988;1193.152;439.73;162.882;203.965;46.59;61329380.0
2008;France;140.409;0.0;-6.024;;519.36;567.35;3.97;23.06;0.311;-0.807;1661.716;55.57;1057.443;-1.927;10.63;-1.361;12.758;3.632;-13.164;463.865;10.026;21.88;-13.164;1184.978;439.45;178.871;235.22;44.82;61721004.0
2009;France;125.028;0.0;-10.954;;503.28;529.21;4.13;21.67;-5.579;-4.456;1587.677;51.32;1015.337;-3.982;9.15;-6.919;11.875;-3.569;-4.893;447.311;9.535;20.5;-4.893;1098.041;409.74;159.168;224.256;41.55;62093300.0
2010;France;133.871;0.0;7.072;;532.12;562.83;4.44;23.36;3.016;1.404;1609.974;57.63;980.459;-3.435;10.51;-0.348;11.834;10.805;-15.446;495.645;8.062;23.76;-15.446;1141.338;428.52;174.068;246.423;45.95;62444568.0
2011;France;113.607;0.0;-15.137;;510.99;567.4;5.04;17.39;-3.85;-6.633;1503.187;58.99;959.389;-2.149;12.11;-1.353;11.673;-13.206;-17.361;430.19;6.663;29.49;-17.361;1171.086;442.39;123.722;208.039;45.03;62775272.0
2012;France;128.7;0.0;13.286;;522.56;567.08;5.3;21.46;-0.039;-0.191;1500.312;56.42;927.169;-3.358;12.21;-8.248;10.711;3.313;-12.376;444.443;5.838;22.75;-12.376;1119.307;425.41;161.18;261.556;45.46;63071412.0
2013;France;134.494;0.0;4.502;;527.99;576.45;5.68;23.84;0.946;0.049;1501.054;53.35;915.128;-1.299;11.12;-1.732;10.525;1.572;-35.904;451.432;3.742;18.39;-35.904;1108.062;423.68;193.085;299.312;44.91;63335180.0
2014;France;100.448;0.0;-25.314;;499.0;566.19;5.99;11.26;-4.218;-9.065;1364.985;35.68;885.454;-3.243;11.26;-3.975;10.107;-16.026;-94.74;379.084;0.197;13.16;-94.74;1134.688;436.48;170.21;286.07;32.23;63588496.0
2015;France;99.874;0.0;-0.571;;509.86;573.92;6.53;11.89;0.624;2.04;1392.825;44.65;885.433;-0.002;11.62;5.508;10.664;7.501;25.719;407.518;0.247;21.14;25.719;1130.386;437.43;146.921;279.923;36.95;63809768.0
2016;France;97.53;0.0;-2.347;;517.15;558.65;7.52;10.23;-1.717;2.107;1422.166;56.45;879.337;-0.688;11.25;-1.222;10.533;9.271;-4.762;445.299;0.236;34.97;-4.762;1035.759;403.2;160.42;297.068;42.12;63989320.0
2017;France;106.46;;9.156;;515.95;556.08;7.78;12.81;-0.737;1.056;1437.183;65.09;883.067;0.424;11.78;;;0.529;;447.657;;40.5;;1017.315;398.36;130.375;280.181;47.12;64144092.0
2018;France;95.259;;-10.521;;512.86;575.83;8.38;8.31;1.856;-2.318;1403.865;49.27;880.221;-0.322;10.35;;;-4.305;;428.384;;30.61;;1048.389;412.94;169.169;333.175;38.36;64277812.0
2019;France;74.536;;-21.755;;508.05;565.72;8.64;3.64;-2.139;-1.417;1383.965;53.5;872.809;-0.842;10.55;;;1.923;;436.62;;39.31;;1009.287;399.01;147.749;332.582;38.77;64399760.0
2005;Germany;945.387;657.931;-4.324;-3.152;608.84;613.41;14.71;288.14;-1.179;-1.739;3308.255;386.96;1460.058;-2.042;24.45;-1.706;42.463;1.644;-3.448;902.81;165.427;74.37;-3.448;447.986;163.05;56.232;206.39;296.01;81212168.0
2006;Germany;983.311;620.453;4.011;-5.696;612.83;629.81;18.94;288.93;2.517;1.583;3360.617;390.03;1457.237;-0.193;23.92;0.937;42.861;1.912;-1.212;920.069;163.422;77.18;-1.212;456.955;167.27;56.996;244.812;298.78;81177816.0
